Organization Name,Organization Name URL,Headquarters Location,Full Description,Operating Status,Company Type,Last Funding Type,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Industries
NASA,https://www.crunchbase.com/organization/nasa,"Washington, District of Columbia, United States","NASA's vision is to reach for new heights and reveal the unknown so that what we do and learn will benefit all humankind. President Dwight D. Eisenhower established the National Aeronautics and Space Administration in 1958, partially in response to the Soviet Union's launch of the first artificial satellite the previous year. NASA grew out of the National Advisory Committee on Aeronautics (NACA), which had been researching flight technology for more than 40 years. President John F. Kennedy focused NASA and the nation on sending astronauts to the moon by the end of the 1960s. Through the Mercury and Gemini projects, NASA developed the technology and skills it needed for the journey. On July 20, 1969, Neil Armstrong and Buzz Aldrin became the first of 12 men to walk on the moon, meeting Kennedy's challenge. Meanwhile, NASA was continuing the aeronautics research pioneered by NACA. It also conducted purely scientific research and worked on developing applications for space technology, combining both pursuits in developing the first weather and communications satellites. After Apollo, NASA focused on creating a reusable ship to provide regular access to space: the space shuttle. First launched in 1981, the space shuttle flew more than 130 successful flights before retiring in 2011. In 2000, the United States and Russia established permanent human presence in space aboard the International Space Station, a multinational project representing the work of 16 nations. NASA also has continued its scientific research. In 1997, Mars Pathfinder became the first in a fleet of spacecraft that will explore Mars in the next decade, as we try to determine if life ever existed there. The Terra and Aqua satellites are flagships of a different fleet, this one in Earth orbit, designed to help us understand how our home world is changing. NASA's aeronautics teams are focused on improved aircraft travel that is safer and cleaner. Throughout its history, NASA has conducted or funded research that has led to numerous improvements to life here on Earth.",Active,For Profit,,,1958-07-29,day,"Aerospace, National Security, Robotics, Space Travel"
Aerojet Rocketdyne,https://www.crunchbase.com/organization/aerojet-rocketdyne-2ece,"Sacramento, California, United States","Aerojet Rocketdyne manufactures rocket, hypersonic, and electric propulsive systems for aerospace and defense companies that provide propulsion and energetics to customers in the space, missile defense, strategic systems, and tactical missile, and weaponry markets. The real estate business of the aerospace and defense products and systems maker covers activities linked to the entitlement, sale, and leasing of the company's excess real estate assets.",Active,For Profit,Grant,,1942-01-01,year,"Aerospace, Automotive, Machinery Manufacturing, Manufacturing"
The Boeing Company,https://www.crunchbase.com/organization/the-boeing-company,"Chicago, Illinois, United States","The Boeing Company is an American multinational corporation that designs, manufactures and sells fixed-wing aircraft, rotorcraft, rockets and satellites and provides leasing and product support services. Boeing is among the largest global aircraft manufacturers, is the second-largest aerospace & defense contractor in the world based on 2012 revenue and is the US' largest exporter by dollar value. Boeing stock is a component of the Dow Jones Industrial Average. The Boeing Company's corporate headquarters are located in Chicago and the company is led by Chairman and CEO James McNerney. Boeing is organized into five primary divisions: Boeing Commercial Airplanes (BCA), Boeing Defense, Space & Security (BDS), Engineering, Operations & Technology, Boeing Capital and Boeing Shared Services Group. Boeing is the world's largest aerospace company and leading manufacturer of commercial jetliners and defense, space and security systems. A top U.S. exporter, the company supports airlines and U.S. and allied government customers in 150 countries. Boeing products and tailored services include commercial and military aircraft, satellites, weapons, electronic and defense systems, launch systems, advanced information and communication systems, and performance-based logistics and training. Boeing has a long tradition of aerospace leadership and innovation. The company continues to expand its product line and services to meet emerging customer needs. Its broad range of capabilities includes creating new, more efficient members of its commercial airplane family; integrating military platforms, defense systems and the warfighter through network-enabled solutions; creating advanced technology solutions; and arranging innovative customer-financing options. With corporate offices in Chicago, Boeing employs more than 170,000 people across the United States and in 70 countries. This represents one of the most diverse, talented and innovative workforces anywhere. More than 140,000 employees hold college degrees -- including nearly 35,000 advanced degrees -- in virtually every business and technical field from approximately 2,700 colleges and universities worldwide. Our enterprise also leverages the talents of hundreds of thousands more skilled people working for Boeing suppliers worldwide. Boeing is organized into two business units: Boeing Commercial Airplanes and Boeing Defense, Space & Security. Supporting these units are Boeing Capital Corporation, a global provider of financing solutions; the Shared Services Group, which provides a broad range of services to Boeing worldwide; and Boeing Engineering, Operations & Technology, which helps develop, acquire, apply and protect innovative technologies and processes. Divisions: - [Boeing Defense, Space and Security](http://www.crunchbase.com/organization/boeing-defense-space-security) - [Boeing Commercial Airplanes](http://www.crunchbase.com/organization/boeing-commercial-airplanes) - [Boeing Capital Corporation](http://www.crunchbase.com/organization/boeing-capital-corporation) - [Boeing Shared Services Group](http://www.crunchbase.com/organization/boeing-shared-services-group) - [Boeing Engineering, Operations & Technology](http://www.crunchbase.com/organization/boeing-engineering-operations-technology)",Active,For Profit,Grant,,1916-07-15,day,"Aerospace, Manufacturing, National Security, Transportation"
CDI,https://www.crunchbase.com/organization/cdi,"Philadelphia, Pennsylvania, United States","Headquartered in Philadelphia, CDI Corp. (NYSE: CDI) is a leading provider of engineering and information technology outsourcing solutions and professional staffing. Its operating units include CDI Engineering Solutions, CDI IT Solutions, CDI AndersElite Limited, and Management Recruiters International, Inc. With offices throughout North America as well as joint ventures in Kuwait and Mexico, the CDI Engineering Solutions division provides engineering outsourcing, project management and professional services to Global 1000 clients in the aerospace, government services, infrastructure, life sciences and process & industrial markets.",Active,For Profit,Post-IPO Debt,,1950-01-01,year,"Aerospace, Information Technology, Oil and Gas, Software"
AAR Corp,https://www.crunchbase.com/organization/aar-corp,"Wood Dale, Illinois, United States","AAR is a provider of diverse products and services to the worldwide commercial aviation and government/defense industries, they combine a close-to-the-customer business model with a broad range of capabilities to help customers operate more efficiently, lower costs, and maintain high levels of quality, safety, and service.",Active,For Profit,Post-IPO Debt,,1951-01-01,year,"Aerospace, National Security"
Bristow Group,https://www.crunchbase.com/organization/bristow-group,"Houston, Texas, United States","Bristow Group Inc. (Bristow Group) is a provider of helicopter services to the worldwide offshore energy industry based on the number of aircraft operated and one of two helicopter service providers to the offshore energy industry with global operations. Bristow Group has transportation operations in the North Sea, Nigeria and the United States Gulf of Mexico, and in most of the other offshore energy producing regions of the world, including Alaska, Australia, Brazil, Russia and Trinidad. Bristow Group conducts its business in one segment: Helicopter Services. The Helicopter Services segment operations are conducted primarily through five business units: Europe, West Africa, North America, Australia, and Other International. During the fiscal year ended March 31, 2012, the Company generated 82% and 93% of its consolidated operating revenue and business unit operating income, respectively, from operations outside of the United States.",Active,For Profit,Post-IPO Debt,,1955-01-01,year,"Aerospace, Information Services, Service Industry"
Lockheed Martin,https://www.crunchbase.com/organization/lockheed-martin,"Bethesda, Maryland, United States","Lockheed Martin Corporation is a global security company engaged in the research, design, development, manufacture, integration, and sustainment of advanced technology systems and products. It also provides a range of management, engineering, technical, scientific, logistic, and information services. The Company operates in four business segments: Aeronautics, Electronic Systems, Information Systems & Global Services, and Space Systems. Lockheed Martin was formed in 1995 from the merger of Lockheed Corporation and Martin Marietta. In September 2008, Lockheed Martin Corporation acquired Aculight Corporation. In January 2009, it completed its acquisition of Universal Systems & Technology, Inc. (UNITECH). In August 2009, it completed its acquisition of Gyrocam Systems LLC (Gyrocam). Gyrocam develops and supplies gyrostabilized optical surveillance systems and sustainment field services, principally to the United States military. Lockheed Martin Missiles and Fire Control, a unit of the Company's Electronic Systems business area, would manage the Gyrocam business.",Active,For Profit,Post-IPO Equity,,1912-01-01,year,"Aerospace, Cyber Security, Machinery Manufacturing, Military, National Security, Security"
Northrop Grumman Systems Corporation,https://www.crunchbase.com/organization/northrop-grumman-systems-corporation,"Los Angeles, California, United States","Northrop Grumman Systems Corporation creates, develops, manufactures, and supports some of the world's innovative products, including cutting-edge airplanes and next-generation satellites, as well as unequaled cyber security systems and all-seeing radars. Northrop Grumman is present wherever the frontiers of possible are being pushed, whether it's rendering a 200-ton airplane invisible, anticipating cyber attacks before they happen, or unraveling the riddles of the cosmos.",Active,For Profit,Grant,,1939-01-01,year,Aerospace
Eastern Airlines,https://www.crunchbase.com/organization/eastern-airlines-inc,"Wayne, Pennsylvania, United States",Eastern Air Lines is a professional group of airline managers that acquired the intellectual property of Eastern Air Lines to develop a new business plan and financing plan to re-launch the airline. The team developed a multi-level business and financing plan that is being used to raise the capital required for Eastern to certify under FAA Regulation Part 121.,Active,For Profit,Venture - Series Unknown,,1927-01-01,year,"Air Transportation, Public Transportation, Service Industry, Transportation"
Honeywell,https://www.crunchbase.com/organization/honeywell,"Charlotte, North Carolina, United States","Honeywell International is a technology and manufacturing company that offers energy, safety, and security solutions and technologies. It offers aerospace products and services; control technologies for buildings, homes, and industry; automotive products; turbochargers;  specialty chemicals; electronic and advanced materials; process technology for refining and petrochemicals; and energy efficient products and solutions. The company offers energy efficiency benefits across four industry sectors: transportation, commercial buildings, industrial, and residential. Its safety technologies focus on emergency management, flights, and workplace. It offers security and control technologies for industrial, defense, and residential purposes. Honeywell International’s offerings are categorized as consumer and home; aerospace and defense; safety and security; buildings, construction, and maintenance; scanning and mobile productivity; industrial process control; efficiency, energy, and utilities; automotive and transportation; oil and gas, refining, petrochemicals, and biofuels; healthcare and medical; chemicals, specialty materials, and fertilizers; manufacturing; and fire protection and first responder. Honeywell International was founded in 1906 and is based in Morristown, New Jersey.",Active,For Profit,Grant,,1906-01-01,year,"Aerospace, Electronics, Information Technology, Innovation Management, Manufacturing, Service Industry"
