Organization Name,Organization Name URL,Headquarters Location,Full Description,Operating Status,Company Type,Last Funding Type,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Industries
Sierra Space,https://www.crunchbase.com/organization/sierra-space,"Louisville, Colorado, United States","Sierra Space is a pure-play commercial space company at the forefront of innovation and the commercialisation of space in the Orbital Age, building platforms in space to benefit life on Earth. With more than 30 years and 500 missions of space flight heritage, the company is enabling the future of space transportation with Dream Chaser®, the world’s only winged commercial spaceplane. Under construction at its Colorado headquarters and expected to launch in 2023 on the first of a series of NASA missions to the International Space Station, Dream Chaser can safely carry cargo—and eventually crew—to on-orbit destinations, returning to land on compatible commercial airport runways worldwide. Sierra Space is also building an array of in-space destinations for low-Earth orbit (LEO) commercialization, including the LIFETM habitat (Large Integrated Flexible Environment), a three-story commercial habitation and science platform designed for LEO. Both Dream Chaser and LIFE are central components of Orbital Reef, a mixed-use business park in LEO being developed by principal partners Sierra Space and Blue Origin that are expected to be operational by the end of the decade.",Active,For Profit,Series A,,2021-01-01,year,"Advanced Materials, Aerospace, Biopharma, Industrial Manufacturing, Solar, Space Travel, Transportation"
Volato,https://www.crunchbase.com/organization/volato,"Atlanta, Georgia, United States","Volato is an aviation company offering solutions for luxury private jet travel. It gives users unlimited flight hours and the freedom to fly wherever, whenever, and however, they like. It also provides access to the whole fleet of premium HondaJet and Gulfstream G280* aircraft.",Active,For Profit,Venture - Series Unknown,,2021-01-01,year,"Air Transportation, Business Travel, Travel"
True Anomaly,https://www.crunchbase.com/organization/true-anomaly,"Denver, Colorado, United States","True Anomaly manufactures space materials to deliver security and sustainability systems and solutions in the space domain. It was founded in 2022 and is headquartered in Denver, Colorado.",Active,For Profit,Series A,,2022-01-01,year,"Aerospace, Machinery Manufacturing, Space Travel"
Chaos,https://www.crunchbase.com/organization/chaos-industries,"Los Angeles, California, United States","Chaos Industries is a technology company that is building the next generation of defense and critical industry technologies. Applying an engineering-led strategy, Chaos provides mission-driven, world-class engineers with a platform to build solutions to critical real-world problems. The Chaos agile engineering approach enables rapid prototyping, while deep partnerships with defense and industry ensure real-world application.",Active,For Profit,Series A,,2022-09-01,month,"Aerospace, Government, Military, National Security, Security"
Gravitics,https://www.crunchbase.com/organization/gravitics,"Seattle, Washington, United States",Gravitics is an aerospace company that designs and manufactures large space structures for human life in space.,Active,For Profit,Seed,,2021-01-01,year,"Aerospace, Manufacturing, Space Travel"
Orbital Outpost X,https://www.crunchbase.com/organization/orbital-outpost-x,"Mountain View, California, United States",Orbital Outpost X enables space business applications to meet the main goals of both moving manufacturing services to space and addressing the human interest in space colonization.,Active,For Profit,Convertible Note,,2021-01-01,year,"Aerospace, Manufacturing"
Impulse Space Propulsion,https://www.crunchbase.com/organization/impulse-space-propulsion,"El Segundo, California, United States","Impulse Space Propulsion is the developer of in-space transportation services for the inner solar system. Founded in 2021 by Tom Mueller, the company is based in El Segundo, California, United States.",Active,For Profit,Seed,,2021-01-01,year,Aerospace
Argo Space,https://www.crunchbase.com/organization/argo-space,"Hermosa Beach, California, United States",,Active,For Profit,Pre-Seed,,2021-01-01,year,"Aerospace, Space Travel"
Muon Space,https://www.crunchbase.com/organization/muon-space,"Mountain View, California, United States","Muon is building the world’s most capable multi-modal Earth remote sensing satellite platform. A focus is on dense, scientific-grade measurements of the atmosphere, ocean, and land processes related to climate. Our Mission-as-a-Service product brings these capabilities to a broad array of customers without the expertise or resources to develop them themselves.",Active,For Profit,Venture - Series Unknown,,2021-01-01,year,"Aerospace, Information Services, Information Technology"
Violet Labs,https://www.crunchbase.com/organization/violet-labs,"San Francisco, California, United States",Cloud-based software integration platform for complex hardware engineering.,Active,For Profit,Non-equity Assistance,,2022-01-24,day,"Aerospace, Autonomous Vehicles, Medical Device, Robotics"
